"gameId","playId","playDescription","gameDate","gameTimeEastern","homeTeamAbbr","visitorTeamAbbr","week","time","x","y","s","a","dis","o","dir","event","nflId","displayName","jerseyNumber","position","frameId","team","playDirection","route","x2","y2"
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,75.7,8.32,0.41,0.1,0.04,276.82,92.72,"None",2539334,"Desmond Trufant",21,"CB",1,"away","right",NA,75.7,8.32
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,73.13,36.23,0.58,0.32,0.06,143.29,54.97,"None",2539653,"Robert Alford",23,"CB",1,"away","right",NA,73.13,36.23
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,67.67,33.64,0.01,0.01,0,103.63,52.14,"None",2552458,"Devin Funchess",17,"WR",1,"home","right","OUT",67.67,33.64
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,63.61,23.77,0,0,0.01,98.29,203.67,"None",2553656,"Taylor Heinicke",6,"QB",1,"home","right",NA,63.61,23.77
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,73.45,21.14,1.98,1.05,0.2,267.69,183.77,"None",2555162,"Deion Jones",45,"MLB",1,"away","right",NA,73.45,21.14
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,73.99,23.88,0.78,0.74,0.07,265.73,140.7,"None",2555255,"De'Vondre Campbell",59,"OLB",1,"away","right",NA,73.99,23.88
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,76.29,30.05,0.62,1.02,0.06,41.23,276.5,"None",2556443,"Sharrod Neasman",41,"SS",1,"away","right",NA,76.29,30.05
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,74.32,17.57,2.16,0.77,0.21,239.73,197.86,"None",2556445,"Brian Poole",34,"CB",1,"away","right",NA,74.32,17.57
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,62.97,26.23,0,0.01,0,142.36,35.41,"None",2557997,"Christian McCaffrey",22,"RB",1,"home","right","FLAT",62.97,26.23
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,67.1,8.41,0.01,0.01,0,88.95,154.8,"None",2558066,"Curtis Samuel",10,"WR",1,"home","right","GO",67.1,8.41
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,83.59,23.49,0.85,1.21,0.09,266.99,233.95,"None",2558184,"Damontae Kazee",27,"SS",1,"away","right",NA,83.59,23.49
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,65.69,18.95,3.33,1.11,0.33,163.42,176.88,"None",2560813,"D.J. Moore",12,"WR",1,"home","right","GO",65.69,18.95
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,67.8,19.25,0.01,0.01,0,76.47,111.98,"None",2560894,"Ian Thomas",80,"TE",1,"home","right","CROSS",67.8,19.25
2018122304,3537,"(11:46) (Shotgun) T.Heinicke pass short left to D.Funchess to ATL 28 for 13 yards (R.Alford).","12/23/2018",13:00:00,"CAR","ATL",16,2018-12-23 20:31:45,68.82,23.96,0,0,0,NA,NA,"None",NA,"Football",NA,NA,1,"football","right",NA,68.82,23.96
